Index,Phase_Error
0,0
1,2
2,-5
3,19
4,31
5,8
6,11
7,41
8,68
9,59
10,49
11,58
12,94
13,94
14,70
15,68
16,83
17,82
18,52
19,48
20,35
21,31
22,44
23,31
24,-3
25,-5
26,11
27,-5
28,-37
29,-41
30,-46
31,-41
32,-44
33,-64
34,-87
35,-70
36,-67
37,-98
38,-112
39,-116
40,-104
41,-114
42,-130
43,-139
44,-131
45,-128
46,-152
47,-166
48,-172
49,-164
50,-174
51,-198
52,-218
53,-229
54,-230
55,-234
56,-257
57,-276
58,-272
59,-239
60,-253
61,-276
62,-258
63,-225
64,-242
65,-263
66,-262
67,-253
68,-250
69,-262
70,-269
71,-272
72,-256
73,-246
74,-268
75,-274
76,-261
77,-243
78,-246
79,-268
80,-269
81,-269
82,-265
83,-283
84,-295
85,-311
86,-308
87,-279
88,-281
89,-298
90,-273
91,-242
92,-257
93,-257
94,-245
95,-218
96,-222
97,-238
98,-241
99,-234
100,-222
101,-245
102,-247
103,-243
104,-233
105,-207
106,-217
107,-234
108,-223
109,-204
110,-210
111,-221
112,-219
113,-214
114,-183
115,-194
116,-203
117,-192
118,-165
119,-149
120,-151
121,-147
122,-125
123,-89
124,-95
125,-106
126,-89
127,-45
128,-50
129,-70
130,-57
131,-52
132,-38
133,-21
134,-42
135,-52
136,-27
137,1
138,-14
139,-18
140,-9
141,25
142,55
143,56
144,53
145,82
146,113
147,101
148,98
149,112
150,147
151,157
152,144
153,151
154,171
155,201
156,197
157,193
158,202
159,215
160,242
161,237
162,223
163,218
164,232
165,233
166,216
167,215
168,207
169,220
170,261
171,255
172,236
173,258
174,302
175,301
176,273
177,282
178,304
179,302
180,274
181,274
182,267
183,272
184,273
185,260
186,242
187,241
188,265
189,253
190,226
191,224
192,228
193,217
194,196
195,186
196,167
197,174
198,183
199,152
200,145
201,165
202,185
203,165
204,149
205,152
206,169
207,174
208,147
209,128
210,143
211,141
212,112
213,94
214,88
215,73
216,86
217,78
218,51
219,39
220,53
221,37
222,14
223,8
224,7
225,20
226,9
227,-18
228,-24
229,-5
230,-19
231,-39
232,-53
233,-57
234,-38
235,-56
236,-82
237,-87
238,-75
239,-77
240,-113
241,-126
242,-140
243,-140
244,-154
245,-184
246,-203
247,-216
248,-221
249,-251
250,-268
251,-282
252,-281
253,-276
254,-295
255,-319
256,-299
257,-282
258,-305
259,-335
260,-344
261,-338
262,-345
263,-372
264,-393
265,-397
266,-386
267,-395
268,-422
269,-427
270,-419
271,-410
272,-424
273,-442
274,-455
275,-447
276,-451
277,-476
278,-485
279,-492
280,-453
281,-462
282,-471
283,-446
284,-400
285,-394
286,-406
287,-394
288,-361
289,-340
290,-348
291,-358
292,-351
293,-323
294,-328
295,-339
296,-330
297,-317
298,-282
299,-265
300,-277
301,-275
302,-244
303,-219
304,-233
305,-232
306,-220
307,-189
308,-177
309,-195
310,-182
311,-158
312,-133
313,-130
314,-135
315,-128
316,-98
317,-75
318,-100
319,-110
320,-79
321,-67
322,-95
323,-99
324,-97
325,-111
326,-102
327,-113
328,-144
329,-152
330,-131
331,-137
332,-171
333,-173
334,-171
335,-154
336,-158
337,-171
338,-183
339,-160
340,-150
341,-172
342,-194
343,-195
344,-175
345,-182
346,-196
347,-202
348,-193
349,-178
350,-195
351,-205
352,-200
353,-189
354,-190
355,-209
356,-226
357,-229
358,-229
359,-242
360,-255
361,-269
362,-264
363,-232
364,-242
365,-272
366,-256
367,-215
368,-224
369,-246
370,-249
371,-242
372,-238
373,-264
374,-282
375,-286
376,-276
377,-289
378,-306
379,-312
380,-318
381,-304
382,-323
383,-346
384,-346
385,-338
386,-355
387,-379
388,-389
389,-399
390,-385
391,-392
392,-415
393,-408
394,-380
395,-370
396,-388
397,-397
398,-377
399,-348
400,-356
401,-382
402,-372
403,-347
404,-359
405,-377
406,-371
407,-375
408,-357
409,-342
410,-359
411,-364
412,-338
413,-319
414,-338
415,-335
416,-315
417,-290
418,-269
419,-270
420,-272
421,-254
422,-218
423,-210
424,-218
425,-209
426,-169
427,-140
428,-152
429,-149
430,-118
431,-83
432,-89
433,-85
434,-74
435,-62
436,-38
437,-35
438,-52
439,-43
440,-18
441,-10
442,-17
443,-11
444,-3
445,41
446,62
447,50
448,77
449,128
450,137
451,116
452,129
453,151
454,159
455,158
456,156
457,155
458,182
459,197
460,175
461,184
462,197
463,222
464,224
465,206
466,205
467,217
468,215
469,191
470,180
471,173
472,193
473,213
474,193
475,189
476,215
477,245
478,234
479,222
480,234
481,252
482,254
483,227
484,222
485,231
486,234
487,216
488,206
489,201
490,206
491,233
492,218
493,187
494,198
495,219
496,201
497,189
498,189
499,183
500,194
501,193
502,167
503,159
504,181
505,196
506,187
507,173
508,175
509,201
510,201
511,174
512,167
513,185
514,189
515,162
516,146
517,142
518,136
519,142
520,117
521,89
522,87
523,95
524,75
525,51
526,47
527,50
528,63
529,49
530,32
531,31
532,52
533,28
534,3
535,-12
536,-11
537,-6
538,-25
539,-42
540,-42
541,-34
542,-46
543,-72
544,-70
545,-71
546,-66
547,-77
548,-106
549,-118
550,-114
551,-121
552,-137
553,-158
554,-169
555,-157
556,-122
557,-143
558,-161
559,-131
560,-100
561,-115
562,-131
563,-125
564,-97
565,-102
566,-117
567,-123
568,-120
569,-101
570,-112
571,-119
572,-116
573,-100
574,-74
575,-81
576,-98
577,-87
578,-75
579,-69
580,65448
